2026-07-06T14:35:47.576695+00:00 | INFO | follower | started offset=5.0m alt=20.0m timeout=200.0ms jump_gate=5.0m rate=50.0Hz
2026-07-06T14:35:47.596471+00:00 | INFO | car_sim | started path=figure8 scale=20.0m speed=2.5mps rate=30.0Hz noise=0.0m
2026-07-06T14:35:47.629616+00:00 | INFO | health_monitor | started rtf_min=0.8 warn_period=5.0s sample_period=1.0s
2026-07-06T14:35:47.629721+00:00 | INFO | telemetry_logger | started sample_rate=20.0Hz -> logs/telemetry.jsonl
2026-07-06T14:35:47.630519+00:00 | INFO | px4_interface | started takeoff_alt=20.0m arm_retries=3 offboard_rate=20.0Hz
2026-07-06T14:35:49.630853+00:00 | INFO | px4_interface | waiting_for_px4 preflight=False pos_valid=False elapsed_s=2
2026-07-06T14:35:51.630885+00:00 | INFO | px4_interface | waiting_for_px4 preflight=False pos_valid=False elapsed_s=4
2026-07-06T14:35:53.630889+00:00 | INFO | px4_interface | waiting_for_px4 preflight=False pos_valid=False elapsed_s=6
2026-07-06T14:35:54.280912+00:00 | INFO | px4_interface | px4_ready action=begin_arming
2026-07-06T14:35:54.281138+00:00 | INFO | px4_interface | arm_attempt=1/3
2026-07-06T14:35:54.330862+00:00 | INFO | px4_interface | armed=true attempt=1
2026-07-06T14:36:05.530829+00:00 | INFO | px4_interface | takeoff_complete altitude_m=19.5
